short_name,month,quantity_tons,product
AMICAL KAKANA MINING,December,6.6,Cobalt
AMICAL KAKANA MINING,April,47.4,Copper
AMICAL KAKANA MINING,May,169.2,Copper
AMICAL KAKANA MINING,December,16.9,Copper
ANVIL,January,592.6,Copper
ANVIL,February,990.3,Copper
ANVIL,March,1407.2,Copper
ANVIL,April,1083.1,Copper
ANVIL,May,765.7,Copper
ANVIL,June,541.1,Copper
ANVIL,August,468.3,Copper
BENCO TRADING END ENGINEERINS SARL,April,201.7,Copper
BOSS MINING,January,626.1,Copper
BOSS MINING,February,419.2,Copper
BOSS MINING,March,1520.8,Copper
BOSS MINING,April,764.4,Copper
BOSS MINING,May,1117.5,Copper
BOSS MINING,June,1930.5,Copper
BOSS MINING,July,42.4,Copper
BOSS MINING,August,0,Copper
BOSS MINING,September,0,Copper
CCR,January,474.2,Cobalt
CCR,February,704.5,Cobalt
CCR,March,235.9,Cobalt
CCR,April,138.9,Cobalt
CCR,May,156.3,Cobalt
CCR,June,207.9,Cobalt
CCR,July,133,Cobalt
CCR,August,107.8,Cobalt
CCR,September,107.8,Cobalt
CCR,October,42.5,Cobalt
CCR,November,184.2,Cobalt
CCR,December,49.6,Cobalt
CCR,January,5228.6,Copper
CCR,February,5521.5,Copper
CCR,March,5363.1,Copper
CCR,April,4136.1,Copper
CCR,May,5050.7,Copper
CCR,June,5927.8,Copper
CCR,July,3164.6,Copper
CCR,August,4724.4,Copper
CCR,September,4739.4,Copper
CCR,October,6980.9,Copper
CCR,November,4197.9,Copper
CCR,December,5109.2,Copper
CDM,January,125.9,Cobalt
CDM,February,96.1,Cobalt
CDM,March,82.3,Cobalt
CDM,April,251,Cobalt
CDM,May,297.1,Cobalt
CDM,June,239.9,Cobalt
CDM,July,234.9,Cobalt
CDM,August,278.4,Cobalt
CDM,September,86.6,Cobalt
CDM,October,7.3,Cobalt
CDM,December,161.9,Cobalt
CDM,January,2767,Copper
CDM,February,4286.7,Copper
CDM,March,4030.3,Copper
CDM,April,4124.4,Copper
CDM,May,5889.5,Copper
CDM,June,4147,Copper
CDM,July,5517.8,Copper
CDM,August,5550.1,Copper
CDM,September,2469.7,Copper
