short_name,quantity_tons,destination
CCR,9583.279999999995,China
CCR,408.496,Durban
COMMUS,7195.266999999999,China
HMC,860.2510000000002,China
HMC,6786.81156,Singapore
KALONGWE,11629.625999999997,China
KCC,25.278,Beira
KCC,7299.311330000003,China
KCC,2206.833000000001,Durban
KCC,1938.12115,Johannesburg
KCC,539.516,Lusaka
KCC,23248.955630000008,Mozambique
KCC,9284.6514,South Africa
KCC,26.002,Unknown
KCC,4416.54787,Zambia
KIMIN,685.1468,China
KIMIN,422.00079999999997,Tanzania
LAMIKAL,14218.118999999997,China
LUILU RESSOURCES,10695.839999999995,China
LUILU RESSOURCES,62.846999999999994,Unknown
METALKOL,4046.2336276699994,China
METALKOL,20520.3345139,Durban
METALKOL,178.732,Ndola/Zambia
METALKOL,3749.6790899999996,South Africa
METALKOL,263.956,Unknown
METALKOL,19974.52749070001,Zambia
MKM,675.4566000000001,China
MKM,96.22746000000001,Durban
MKM,64.34087,South Africa
MKM,32.20534,Zambia
MMT,357.002,China
MUMI,187.29499,Beira
MUMI,4166.37593,China
MUMI,2721.3462699999995,Durban
MUMI,6939.939980000001,Johannesburg
MUMI,9228.664336999998,Mozambique
MUMI,938.2989699999999,South Africa
S M DEZIWA,22823.079999999987,China
S M DEZIWA,275.734,Mozambique
SCM,19362.808,China
SCM,543.2760000000001,Unknown
TCC,8476.406551999997,China
TCC,45.97767,Unknown
THOMAS,7972.3821499999995,China
THOMAS,92.32608,Hono
