short_name,quantity_tons,destination
ANVIL,1361.962,China
ANVIL,1651.1090000000002,Singapore
BOSS MINING,305.954,China
BOSS MINING,2342.672,Singapore
CCR,58649.137,China
CCR,1549.3589999999997,Durban
CCR,217.447,Unknown
COMMUS,142455.01503678007,China
COMMUS,107.6,GSM
COMMUS,69.897,Unknown
HMC,26371.063999999988,China
HMC,334.10200000000003,Durban
HMC,5118.037,Singapore
HMC,54.61,Unknown
JCM,1909.3310000000001,China
JXCOM SARL,56.299,China
KALONGWE,36154.21399999998,China
KAMOA,713135.5116524799,China
KAMOA,3528.8883665999997,Durban
KAMOA,899.4254184,Singapore
KAMOA,93.4887686,Zambia
KCC,1477.5260000000003,Angola
KCC,69.523,Beira
KCC,49286.42140000001,China
KCC,6541.384,Dar es Salaam
KCC,425.881,Glencore
KCC,466.688,Johannesburg
KCC,1005.0070000000001,Lusaka
KCC,50243.479,Mozambique
KCC,1888.1510000000005,Namibia
KCC,296.44,Singapore
KCC,1708.3529999999998,South Africa
KCC,1154.789,Switzerland
KCC,84248.59700000005,Tanzania
KCC,1580.845,Unknown
KCC,459.407,Zambia
KIMIN,7802,China
KIMIN,3162,Dar es Salaam
KIMIN,864,Dubai
KIMIN,620,Mozambique
KIMIN,13848,Tanzania
LAMIKAL,47453.521000000015,China
LAMIKAL,371.556,Mozambique
LCS,70867.24999999993,China
LCS,29.262,Nypra
LCS,276.111,Unknown
LUILU RESSOURCES,43128.877999999975,China
METALKOL,9496.496999999998,China
METALKOL,697.761,Dar es Salaam
METALKOL,19325.809000000005,Durban
METALKOL,298.054,Johannesburg
METALKOL,40266.49700000001,Mozambique
METALKOL,11183.477999999996,South Africa
METALKOL,18355.121000000006,Tanzania
METALKOL,64.973,Unknown
MKM,10032.540999999994,China
MKM,131.389,Sanhe
MKM,8255.599000000002,Tanzania
MKM,99.484,Unknown
MMT,15995.017999999996,China
MUMI,10167.519999999999,Beira
MUMI,7834.446000000001,China
MUMI,6772.6770000000015,Dar es Salaam
MUMI,104.167,Durban
MUMI,33.785,Johannesburg
MUMI,599.2760000000001,Mozambique
MUMI,128.03199999999998,South Africa
MUMI,8128.771000000002,Tanzania
S M DEZIWA,78490.69300000001,China
S M DEZIWA,4474.7300000000005,Durban
S M DEZIWA,538.552,Tanzania
SCM,235048.84467,China
SCM,3005.042,Unknown
TCC,150.586,Beira
TCC,47062.84199999998,China
TCC,27.784,Unknown
THOMAS,62.587,Bridge
THOMAS,25039.66049999999,China
THOMAS,651.797,Singapore
THOMAS,2843.717,Switzerland
